from_id,to_id,direct,hops
44782,88059,True,1
44782,88816,False,2
44782,85934,False,3
44782,85250,False,4
44967,9229,True,1
44967,90276,False,2
44967,86256,False,3
46545,68325,True,1
46678,56979,True,1
46937,28395,True,1
46937,90276,False,2
46937,86256,False,3
47462,66021,True,1
47462,88059,False,2
47462,88816,False,3
47462,85934,False,4
47462,85250,False,5
47645,64419,True,1
47686,90228,True,1
47749,59876,True,1
47821,75566,True,1
47821,88059,False,2
47821,88816,False,3
47821,85934,False,4
47821,85250,False,5
48095,85249,True,1
48235,88178,True,1
48235,82838,False,2
48465,90381,True,1
48465,89585,False,2
49094,42577,True,1
49094,28395,False,2
49094,90276,False,3
49094,86256,False,4
49107,23795,True,1
49107,90276,False,2
49107,86256,False,3
49780,90228,True,1
50273,53419,True,1
50306,81356,True,1
50334,28395,True,1
50334,90276,False,2
50334,86256,False,3
50336,88587,True,1
50641,90228,True,1
50729,84315,True,1
50729,72953,False,2
50813,28555,True,1
50813,37171,False,2
51049,61774,True,1
51049,72149,False,2
51049,73091,False,3
51167,53419,True,1
51559,46406,True,1
51965,70121,True,1
51965,82167,False,2
51965,85897,False,3
52436,79699,True,1
52438,88587,True,1
53261,79699,True,1
53516,84513,True,1
54172,71728,True,1
54538,90381,True,1
54538,89585,False,2
54624,72621,True,1
54782,90228,True,1
54856,56653,True,1
54856,64419,False,2
54932,88587,True,1
55168,24145,True,1
55916,88587,True,1
56167,74551,True,1
56386,66079,True,1
56519,90381,True,1
56519,89585,False,2
56653,64419,True,1
56986,87726,True,1
57035,48177,True,1
57331,88587,True,1
57655,77808,True,1
57753,53419,True,1
57944,73473,True,1
57944,78725,False,2
57944,88587,False,3
58149,79699,True,1
58860,63066,True,1
58860,90228,False,2
58953,81103,True,1
59536,76440,True,1
59536,85250,False,2
59860,43012,True,1
59860,90276,False,2
59860,86256,False,3
60205,88587,True,1
60542,53416,True,1
61324,86989,True,1
61568,90276,True,1
61568,86256,False,2
61774,72149,True,1
61774,73091,False,2
62160,81103,True,1
62718,90381,True,1
62718,89585,False,2
62898,87726,True,1
63040,63066,True,1
63040,90228,False,2
63066,90228,True,1
63091,46406,True,1
63195,90228,True,1
63473,81103,True,1
63834,63486,True,1
63840,80965,True,1
63840,53419,False,2
64255,90228,True,1
64359,88059,True,1
64359,88816,False,2
64359,85934,False,3
64359,85250,False,4
64623,88587,True,1
64640,38676,True,1
64640,55168,False,2
64640,24145,False,3
64750,82167,True,1
64750,85897,False,2
65007,73473,True,1
65007,78725,False,2
65007,88587,False,3
65392,80132,True,1
65392,88587,False,2
65395,88816,True,1
65395,85934,False,2
65395,85250,False,3
65463,90228,True,1
65891,88587,True,1
66021,88059,True,1
66021,88816,False,2
66021,85934,False,3
66021,85250,False,4
66105,68325,True,1
66454,28395,True,1
66454,90276,False,2
66454,86256,False,3
66592,77811,True,1
66592,79933,False,2
66592,90381,False,3
66592,89585,False,4
66955,76253,True,1
67129,79699,True,1
67174,85250,True,1
67268,90381,True,1
67268,89585,False,2
67292,88059,True,1
67292,88816,False,2
67292,85934,False,3
67292,85250,False,4
67431,86989,True,1
67483,71475,True,1
67509,88059,True,1
67509,88816,False,2
67509,85934,False,3
67509,85250,False,4
67565,54538,True,1
67565,90381,False,2
67565,89585,False,3
67798,90228,True,1
68004,90228,True,1
68064,86989,True,1
68348,54977,True,1
68444,85585,True,1
68444,90228,False,2
68535,88587,True,1
68780,77848,True,1
68780,88587,False,2
68975,89637,True,1
68975,79202,False,2
68975,79699,False,3
69059,90381,True,1
69059,89585,False,2
69232,84516,True,1
69416,88587,True,1
69527,88059,True,1
69527,88816,False,2
69527,85934,False,3
69527,85250,False,4
69640,88059,True,1
69640,88816,False,2
69640,85934,False,3
69640,85250,False,4
69741,75415,True,1
69742,80268,True,1
70007,88587,True,1
70061,85992,True,1
70061,85250,False,2
70121,82167,True,1
70121,85897,False,2
70593,63066,True,1
70593,90228,False,2
70710,90381,True,1
70710,89585,False,2
70721,85250,True,1
70864,80268,True,1
71016,88816,True,1
71016,85934,False,2
71016,85250,False,3
71149,50002,True,1
71608,88587,True,1
71653,30989,True,1
71972,82167,True,1
71972,85897,False,2
72149,73091,True,1
72222,88587,True,1
72747,88059,True,1
72747,88816,False,2
72747,85934,False,3
72747,85250,False,4
72936,90228,True,1
73073,53419,True,1
73473,78725,True,1
73473,88587,False,2
73713,80268,True,1
73857,88587,True,1
73900,90381,True,1
73900,89585,False,2
74020,73473,True,1
74020,78725,False,2
74020,88587,False,3
74347,90381,True,1
74347,89585,False,2
74781,29269,True,1
