source_gww_id,source_gdw_id,target_gww_id,target_gdw_id,season,hops,direct,window,n_years,fill_share_pct,pair_impact_pct_of_target_runoff,source_delta_storage_mcm,activity_share_pct,drawdown_share_pct,pair_impact_ratio,area_coverage_pct,runoff_coverage_pct,pair_impact_days,target_full_runoff_mcm,source_full_runoff_mcm,signed_storage_change_share_pct
47377,22814,17311,22853,winter,4,0,2006-2010,5,7.140994,0.511821,0.4844,2.355867,1.189348,0.005118,0.946313,0.781956,0.470875,256.435744,2.148305,4.110999
21623,22796,17311,22853,dry,1,1,2011-2015,5,1.331844,-4.474292,-0.49594,0.716111,0.222206,-0.044743,0.53248,0.596029,-4.019925,17.941736,0.105287,1.46676
26992,22794,17311,22853,dry,1,1,2011-2015,5,,-77.208313,-10.54758,1.757101,5.728283,-0.772083,0.53248,0.596029,-69.498449,17.941736,0.105287,-7.18182
44124,22795,17311,22853,dry,1,1,2011-2015,5,1.333667,-39.744884,-6.0988,0.906942,4.768565,-0.397449,2.021205,2.344323,-35.829671,17.941736,0.419743,-0.772523
45325,22805,17311,22853,dry,1,1,2011-2015,5,5.272474,-62.837045,-9.0448,1.050179,10.685973,-0.62837,0.97693,1.010991,-56.553341,17.941736,0.188639,1.444449
70830,10451,17311,22853,dry,1,1,2011-2015,5,,-396.078826,-53.8124,5.535672,26.550824,-3.960788,3.318143,3.829386,-356.751739,17.941736,0.684365,-6.679053
77528,6576,17311,22853,dry,1,1,2011-2015,5,72.464352,-46.273276,70.2798,50.622767,47.792382,-0.462733,55.96254,54.983282,-38.984544,17.941736,9.624435,154.935228
64733,22804,17311,22853,dry,2,0,2011-2015,5,70.761975,-153.382234,-29.8276,11.324401,16.524018,-1.533822,0.525348,0.527574,-138.058265,17.941736,0.10146,1.035397
76686,10459,17311,22853,dry,2,0,2011-2015,5,26.403422,-362.95633,-43.25,17.557469,42.633599,-3.629563,7.79976,7.956886,-326.774802,17.941736,1.52539,-57.367265
23471,22818,17311,22853,dry,3,0,2011-2015,5,0.0696,-11.444985,-1.30746,0.22368,1.588069,-0.11445,8.207418,8.348839,-10.300486,17.941736,1.602504,-0.119005
68612,10457,17311,22853,dry,3,0,2011-2015,5,5.593828,-459.410984,-55.4736,4.981785,12.377263,-4.59411,3.896252,4.247956,-413.46079,17.941736,0.783797,9.666603
47377,22814,17311,22853,dry,4,0,2011-2015,5,15.083816,-291.436329,-36.0372,5.323892,7.481096,-2.914363,0.946313,0.945622,-262.396073,17.941736,0.180252,3.571231
21623,22796,17311,22853,pre_monsoon,1,1,2011-2015,5,1.420335,-20.207354,-4.61392,1.514129,2.525352,-0.202074,0.53248,0.466497,-18.388692,32.035835,0.146643,2.602633
26992,22794,17311,22853,pre_monsoon,1,1,2011-2015,5,5.795757,-53.094637,-10.76004,4.141375,5.037625,-0.530946,0.53248,0.466497,-48.31612,32.035835,0.146643,6.18192
44124,22795,17311,22853,pre_monsoon,1,1,2011-2015,5,10.896614,9.899132,5.7484,3.919947,2.436553,0.098991,2.021205,1.29263,9.00821,32.035835,0.418131,38.954138
45325,22805,17311,22853,pre_monsoon,1,1,2011-2015,5,54.357461,93.252004,18.9398,7.767013,,0.93252,0.97693,0.64111,84.859324,32.035835,0.203238,-10.590816
70830,10451,17311,22853,pre_monsoon,1,1,2011-2015,5,15.040754,-393.020306,-92.446,24.770513,43.199684,-3.930203,3.318143,2.234194,-357.648479,32.035835,0.718913,9.260469
77528,6576,17311,22853,pre_monsoon,1,1,2011-2015,5,66.059745,197.580188,67.284,27.342217,5.347664,1.975802,55.96254,74.660891,179.797971,32.035835,23.963936,132.969249
64733,22804,17311,22853,pre_monsoon,2,0,2011-2015,5,64.634759,59.466385,19.2118,7.612385,2.454261,0.594664,0.525348,0.262964,54.11441,32.035835,0.084691,-0.308089
76686,10459,17311,22853,pre_monsoon,2,0,2011-2015,5,,-185.228838,-51.084,16.267949,43.000188,-1.852288,7.79976,4.28711,-168.558242,32.035835,1.37968,-81.855431
23471,22818,17311,22853,pre_monsoon,3,0,2011-2015,5,0.378543,0.583734,0.08206,0.064747,1.738985,0.005837,8.207418,4.475995,0.531197,32.035835,1.440411,-0.117352
68612,10457,17311,22853,pre_monsoon,3,0,2011-2015,5,4.153527,-58.532968,-13.213,3.787691,10.93266,-0.58533,3.896252,2.249617,-53.265001,32.035835,0.726462,9.354666
47377,22814,17311,22853,pre_monsoon,4,0,2011-2015,5,2.558689,-24.310621,-5.6172,2.812035,8.770469,-0.243106,0.946313,0.491631,-22.122665,32.035835,0.157409,-6.451388
21623,22796,17311,22853,monsoon,1,1,2011-2015,5,1.408616,7.003061,4.89084,0.947812,4.24053,0.070031,0.53248,0.441187,6.442816,161.352239,0.735703,4.365964
26992,22794,17311,22853,monsoon,1,1,2011-2015,5,6.461079,19.352733,19.55748,3.834394,0.637474,0.193527,0.53248,0.441187,17.804514,161.352239,0.735703,6.23833
44124,22795,17311,22853,monsoon,1,1,2011-2015,5,1.905408,4.131353,2.9958,1.097042,0.093904,0.041314,2.021205,0.788663,3.800845,161.352239,1.322422,1.23786
45325,22805,17311,22853,monsoon,1,1,2011-2015,5,4.458108,12.682124,11.603,1.731047,,0.126821,0.97693,0.522761,11.667554,161.352239,0.871683,1.840802
70830,10451,17311,22853,monsoon,1,1,2011-2015,5,38.516001,72.620662,76.0788,30.084381,38.180754,0.726207,3.318143,1.502511,66.811009,161.352239,2.515767,153.730368
77528,6576,17311,22853,monsoon,1,1,2011-2015,5,59.143522,103.787706,116.9964,18.233212,54.961353,1.037877,55.96254,81.12004,95.48469,161.352239,129.498472,-142.426606
64733,22804,17311,22853,monsoon,2,0,2011-2015,5,12.796323,43.336922,35.2926,5.459534,10.125837,0.433369,0.525348,0.157619,39.869968,161.352239,0.26322,5.166315
76686,10459,17311,22853,monsoon,2,0,2011-2015,5,29.961525,-1376.026297,-2538.886,27.17392,62.559048,-13.760263,7.79976,2.415397,-1265.944193,161.352239,4.012433,38.683871
23471,22818,17311,22853,monsoon,3,0,2011-2015,5,0.077703,0.366502,0.23596,0.037257,0.739033,0.003665,8.207418,2.527608,0.337182,161.352239,4.199491,-0.053112
68612,10457,17311,22853,monsoon,3,0,2011-2015,5,17.082502,46.499446,45.1852,9.802979,11.702356,0.464994,3.896252,1.363188,42.779491,161.352239,2.282218,16.974358
47377,22814,17311,22853,monsoon,4,0,2011-2015,5,2.679303,-10.104567,-16.5338,1.598423,5.542942,-0.101046,0.946313,0.338645,-9.296202,161.352239,0.568875,14.24185
