target_gww_id,target_gdw_id,season,window,n_years,upstream_impact_days,upstream_fill_pct_of_target_runoff,upstream_count,upstream_impact_pct_of_target_runoff,upstream_delta_storage_mcm,upstream_drawdown_pct_of_target_runoff,system_impact_pct_of_target_runoff,upstream_impact_ratio,target_full_runoff_mcm,target_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,system_delta_storage_mcm,system_impact_ratio,system_impact_days
85248,1786,pre_monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,149358.993069,0.0,1.317658,1049.476667,0.0,0.0,1049.476667,1493.589931,135916.683693
85248,1786,monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,3545.995191,0.0,78.802779,2398.606667,0.0,0.0,2398.606667,35.459952,3262.315576
85248,1786,winter,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,-8642.379825,0.0,11.778838,1030.315,0.0,0.0,1030.315,-86.423798,-7950.989439
85249,7621,dry,2001-2005,5,-413.462411,8.729856,1.0,-459.066326,-11.3305,467.796182,-42766.009172,-4.590663,3.312745,-1694.29,11.6921,0.3616,-1705.6205,-427.660092,-38625.392704
85249,7621,pre_monsoon,2001-2005,5,750.582228,907.558564,1.0,824.815635,6.64946,82.742929,67350.301127,8.248156,8.532516,1446.364,12.21202,18.86148,1453.01346,673.503011,61288.774026
85249,7621,monsoon,2001-2005,5,55.097883,76.113811,1.0,59.889003,12.39724,16.224807,3223.86679,0.59889,52.83852,1062.968,6.27656,18.6738,1075.36524,32.238668,2965.957447
85249,7621,winter,2001-2005,5,-872.745302,0.29595,1.0,-948.636198,-52.91304,948.932147,-34129.17827,-9.486362,13.67497,-1266.416,53.01624,0.1032,-1319.32904,-341.291783,-31398.844009
85249,7621,dry,2006-2010,5,110.800778,687.865618,1.0,122.82539,2.54936,565.040228,-26782.737669,1.228254,3.015347,-688.378,18.5538,21.10316,-685.82864,-267.827377,-24153.57961
85249,7621,pre_monsoon,2006-2010,5,1074.651348,1306.858307,1.0,1180.935548,15.84752,125.922759,73068.957619,11.809355,5.881317,799.95,1.40154,17.24906,815.79752,730.689576,66492.751433
85249,7621,monsoon,2006-2010,5,14.775189,21.989572,1.0,16.059988,9.88528,5.929584,2627.362653,0.1606,56.33008,701.4,1.51524,11.40052,711.28528,26.273627,2417.173641
85249,7621,winter,2006-2010,5,-162.565486,25.960302,1.0,-176.701615,-16.07368,202.661917,-10124.833936,-1.767016,9.579128,-797.22,19.71498,3.6413,-813.29368,-101.248339,-9314.847221
85249,7621,dry,2011-2015,5,-885.416508,0.0,1.0,-979.125891,-36.78314,979.125891,-31087.043171,-9.791259,3.531996,-897.752,36.78314,0.0,-934.53514,-310.870432,-28080.91083
85249,7621,pre_monsoon,2011-2015,5,457.394544,502.631367,1.0,502.631367,27.43818,0.0,-14965.298392,5.026314,6.61459,171.13,0.0,27.43818,198.56818,-149.652984,-13618.421537
85249,7621,monsoon,2011-2015,5,301.722435,327.959168,1.0,327.959168,108.47708,0.0,7365.063897,3.279592,38.484445,2160.678,0.0,108.47708,2269.15508,73.650639,6775.858785
85249,7621,winter,2011-2015,5,-634.701592,6.873017,1.0,-689.893035,-45.44964,696.766052,-28458.063413,-6.89893,16.092971,-1660.134,47.16824,1.7186,-1705.58364,-284.580634,-26181.41834
85249,7621,dry,2016-2021,6,-410.382065,621.38973,1.0,-453.676117,-23.524417,1075.065847,-33155.772978,-4.536761,3.984764,-1177.475,46.92605,23.401633,-1200.999417,-331.55773,-29927.032485
85249,7621,pre_monsoon,2016-2021,6,3321.775056,3661.12876,1.0,3650.30226,59.521983,10.8265,74350.348331,36.503023,8.997218,188.335,2.561167,62.08315,247.856983,743.503483,67658.816981
85249,7621,monsoon,2016-2021,6,112.597725,126.602523,1.0,122.388831,85.984517,4.213691,4035.437377,1.223888,66.967343,2403.1,2.407,88.391517,2489.084517,40.354374,3712.602387
85249,7621,winter,2016-2021,6,-376.271765,0.0,1.0,-408.991049,-69.836833,408.991049,-6643.740029,-4.08991,23.529697,-963.021667,69.836833,0.0,-1032.8585,-66.4374,-6112.240827
85250,1762,dry,2001-2005,5,-11757.671665,3021.222987,36.6,-13056.234529,-13380.358,16077.457516,-13213.89018,-130.562345,126.240435,-182.956,16951.0266,3570.6686,-13563.314,-132.138902,-11899.680402
85250,1762,pre_monsoon,2001-2005,5,8120.352211,10507.185345,37.6,8923.463969,21119.6944,1583.721376,8936.406298,89.23464,388.333873,37.164,4481.4252,25601.1196,21156.8584,89.364063,8132.129731
85250,1762,monsoon,2001-2005,5,658.90509,819.937871,37.8,716.201185,34115.2043,103.736686,718.13143,7.162012,4672.108478,80.216,5055.0872,39170.2915,34195.4203,7.181314,660.680916
85250,1762,winter,2001-2005,5,-5547.772998,1534.417604,37.6,-6030.188041,-25609.5636,7564.605645,-6017.293938,-60.30188,692.929087,66.638,34141.9862,8532.4226,-25542.9256,-60.172939,-5535.910423
85250,1762,dry,2006-2010,5,-17135.939224,2820.849373,36.8,-19010.587008,-29882.97808,21831.436381,-19081.721273,-190.10587,149.312514,-73.12,33782.74956,3899.77148,-29956.09808,-190.817213,-17200.424084
85250,1762,pre_monsoon,2006-2010,5,6085.538448,12806.821908,37.6,6687.404888,11872.09084,6119.41702,6707.194834,66.874049,575.962338,39.554,5482.40232,17354.49316,11911.64484,67.071948,6103.547299
85250,1762,monsoon,2006-2010,5,596.79178,712.993977,37.6,648.686718,24133.99116,64.30726,651.038973,6.486867,4874.171042,84.426,3062.4028,27196.39396,24218.41716,6.51039,598.955855
85250,1762,winter,2006-2010,5,-3670.89568,1046.725326,37.6,-3990.104,-22050.5327,5036.829325,-4004.980055,-39.90104,686.859886,-9.014,26394.42392,4343.89122,-22059.5467,-40.049801,-3684.581651
85250,1762,dry,2011-2015,5,-8219.631233,4428.912326,38.0,-9099.483252,-21545.60564,13528.395577,-9079.214834,-90.994833,240.044977,39.004,30303.44124,8757.8356,-21506.60164,-90.792148,-8201.440598
85250,1762,pre_monsoon,2011-2015,5,6383.364187,11456.228615,38.0,7014.685919,13868.50424,4441.542696,7060.106623,70.146859,1015.767744,91.686,8769.4246,22637.92884,13960.19024,70.601066,6424.697027
85250,1762,monsoon,2011-2015,5,317.176961,566.954683,38.0,344.757567,23271.12646,222.197116,342.275638,3.447576,10523.086998,-94.228,15982.3364,39253.46286,23176.89846,3.422756,314.893587
85250,1762,winter,2011-2015,5,-3424.174892,605.047729,38.0,-3721.929231,-22766.3308,4326.97696,-3717.829081,-37.219292,928.37202,30.882,26759.4684,3993.1376,-22735.4488,-37.178291,-3420.402754
85250,1762,dry,2016-2021,6,-33504.980624,2781.454296,37.0,-37064.484171,-57049.517783,39845.938467,-37160.339406,-370.644842,191.291837,-164.171667,61363.39045,4313.872667,-57213.68945,-371.603394,-33591.465275
85250,1762,pre_monsoon,2016-2021,6,-3376.261391,22043.554513,37.5,-3710.177352,2251.865217,25753.731865,-3670.521127,-37.101774,145.91675,70.143333,22372.5162,24624.381417,2322.00855,-36.705211,-3340.174225
85250,1762,monsoon,2016-2021,6,688.497702,902.302934,38.0,748.367068,53623.99295,153.935866,752.518688,7.483671,8901.558835,275.01,13474.5465,67098.53945,53899.00295,7.525187,692.317193
