target_gww_id,target_gdw_id,year,season,upstream_count,target_full_runoff_mcm,target_delta_storage_mcm,upstream_delta_storage_mcm,system_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,upstream_impact_ratio,upstream_impact_pct_of_target_runoff,upstream_impact_days,system_impact_ratio,system_impact_pct_of_target_runoff,system_impact_days,upstream_drawdown_pct_of_target_runoff,upstream_fill_pct_of_target_runoff
7201,22855,2019,monsoon,0,2.335915,14.5994,0.0,14.5994,0,0,0.0,0.0,0.0,6.249972,624.997155,574.997382,0.0,0.0
7201,22855,2019,winter,0,0.88986,4.8452,0.0,4.8452,0,0,0.0,0.0,0.0,5.444899,544.489879,500.930688,0.0,0.0
7201,22855,2020,dry,0,0.064051,-6.7417,0.0,-6.7417,0,0,0.0,0.0,0.0,-105.255839,-10525.583941,-9578.281386,0.0,0.0
7201,22855,2020,pre_monsoon,0,0.118668,-9.8727,0.0,-9.8727,0,0,0.0,0.0,0.0,-83.195695,-8319.569525,-7570.808268,0.0,0.0
7201,22855,2020,monsoon,0,1.213533,-28.8665,0.0,-28.8665,0,0,0.0,0.0,0.0,-23.787158,-2378.715778,-2188.418516,0.0,0.0
7201,22855,2020,winter,0,2.733415,5.8752,0.0,5.8752,0,0,0.0,0.0,0.0,2.149399,214.939887,197.744696,0.0,0.0
7201,22855,2021,dry,0,0.190079,-2.5296,0.0,-2.5296,0,0,0.0,0.0,0.0,-13.308172,-1330.817235,-1197.735512,0.0,0.0
7201,22855,2021,pre_monsoon,0,0.211075,-30.4626,0.0,-30.4626,0,0,0.0,0.0,0.0,-144.321219,-14432.121887,-13133.230918,0.0,0.0
7201,22855,2021,monsoon,0,1.698836,58.1177,0.0,58.1177,0,0,0.0,0.0,0.0,34.210304,3421.030446,3147.34801,0.0,0.0
7201,22855,2021,winter,0,2.407709,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2022,dry,0,0.248137,-13.9403,0.0,-13.9403,0,0,0.0,0.0,0.0,-56.179786,-5617.978595,-5056.180735,0.0,0.0
7201,22855,2022,pre_monsoon,0,0.360027,-51.0088,0.0,-51.0088,0,0,0.0,0.0,0.0,-141.680498,-14168.049781,-12892.9253,0.0,0.0
7201,22855,2022,monsoon,0,2.212853,19.6196,0.0,19.6196,0,0,0.0,0.0,0.0,8.866199,886.619945,815.690349,0.0,0.0
7201,22855,2022,winter,0,1.533219,4.0419,0.0,4.0419,0,0,0.0,0.0,0.0,2.636218,263.621767,242.532026,0.0,0.0
7201,22855,2023,dry,0,0.184775,0.5122,0.0,0.5122,0,0,0.0,0.0,0.0,2.772026,277.202554,249.482298,0.0,0.0
7201,22855,2023,pre_monsoon,0,0.287522,2.0763,0.0,2.0763,0,0,0.0,0.0,0.0,7.221352,722.135183,657.143017,0.0,0.0
7201,22855,2023,monsoon,0,1.646217,-11.8045,0.0,-11.8045,0,0,0.0,0.0,0.0,-7.170684,-717.068363,-659.702894,0.0,0.0
7201,22855,2023,winter,0,2.085125,-60.9527,0.0,-60.9527,0,0,0.0,0.0,0.0,-29.232152,-2923.215204,-2689.357988,0.0,0.0
